priority,ipa,word,concept,representationType,homophoneGroup,productivity,assetExists,assetStatus,needsProduction,source
P0,ba,bas,bas,IMAGE,bas | bât | bats,926.115,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,vɑ̃,vent,vent,IMAGE,vend | vent,862.299,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,ku,cou,cou,IMAGE,cou | coup | coût,860.209,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,ni,nid,nid,IMAGE,nid | nie,843.984,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,pɛʁ,père,père,IMAGE,pair | paire | père,821.171,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,sɑ̃,sang,sang,IMAGE,cent | sang | sans,815.864,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,bu,boue,boue,IMAGE,bou | boue | bout,771.475,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,fɛʁ,fer,fer,IMAGE,faire | fer | ferre,720.859,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,sœʁ,sœur,sœur,IMAGE,soeur | sœur,663.795,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P0,bal,balle,balle,IMAGE,bal | ball | balle,632.238,true,VALIDÉ_EXPLICITEMENT,false,data/rebus-productive-bank-wave2.json
P0,mal,malle,malle,IMAGE,mal | mâle | malle,628.834,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave2.json
P0,pɥi,puits,puits,IMAGE,puis | puits | puy,626.376,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,tʁu,trou,trou,IMAGE,trou | troue,623.406,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave2.json
P0,lis,lis,lis,IMAGE,lice | lis | lys,612.085,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave2.json
P0,bɑ̃,banc,banc,IMAGE,ban | banc,610.604,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,pwa,pois,pois,IMAGE,poids | pois | poix,609.525,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-productive-bank-wave2.json
P0,bʁa,bras,bras,IMAGE,bras,604.982,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P0,kɔ̃pa,compas,compas,IMAGE,compas,603.878,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave2.json
P0,ale,allée,allée,IMAGE,allée | aller | allez,600.916,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave2.json
P0,fu,fou,fou,IMAGE,fou,599.682,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P0,ble,blé,blé,IMAGE,blé,598.007,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json | data/rebus-productive-bank-wave1.json
P0,foto,photo,photo,IMAGE,photo,597.086,true,VALIDÉ_EXPLICITEMENT,false,data/rebus-productive-bank-wave2.json
P0,ʁwa,roi,roi,IMAGE,roi | roua | roy,596.086,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave2.json
P0,œʁ,heure,heure,IMAGE,heure,592.618,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
